Class,OCavg,OCmax,WMC
com.gemstone.gemfire.geode_new_5f6437c2d3d6800b5780eb2c,3.1,14,363
com.gemstone.gemfire.geode_new_5f644c4cd3d6800b5782bfab,3.1,14,363
com.gemstone.gemfire.geode_new_5f644c4dd3d6800b5782bfca,3.12,14,365
com.gemstone.gemfire.geode_new_5f644c4fd3d6800b5782bffa,3.12,14,365
com.gemstone.gemfire.geode_new_5f644c50d3d6800b5782c018,3.12,14,365
com.gemstone.gemfire.geode_new_5f644c52d3d6800b5782c043,3.12,14,365
com.gemstone.gemfire.geode_old_5f6437c2d3d6800b5780eb2c,3.1,14,363
com.gemstone.gemfire.geode_old_5f643a59d3d6800b57812859,3.12,14,365
com.gemstone.gemfire.geode_old_5f643ad8d3d6800b57813357,3.12,14,365
com.gemstone.gemfire.geode_old_5f644c4cd3d6800b5782bfab,3.1,14,363
com.gemstone.gemfire.geode_old_5f644c4dd3d6800b5782bfca,3.1,14,363
com.gemstone.gemfire.geode_old_5f644c4fd3d6800b5782bffa,3.1,14,363
com.gemstone.gemfire.geode_old_5f644c50d3d6800b5782c018,3.12,14,365
com.gemstone.gemfire.geode_old_5f644c52d3d6800b5782c043,3.12,14,365
jamesproject_new_5f645598d3d6800b5783a143,1,1,6
org.apache.geode.geode_new_5f643a59d3d6800b57812859,3.12,14,365
org.apache.geode.geode_new_5f643ad8d3d6800b57813357,3.12,14,365
org.apache.geode.geode_new_5f643bf5d3d6800b57814dcd,3.14,14,367
org.apache.geode.geode_new_5f643c6ed3d6800b5781584f,3.14,14,367
org.apache.geode.geode_new_5f643e61d3d6800b57818186,1.33,4,12
org.apache.geode.geode_new_5f643e67d3d6800b578181f6,3.18,14,369
org.apache.geode.geode_new_5f64421ed3d6800b5781d6e8,3.18,14,369
org.apache.geode.geode_new_5f644cfbd3d6800b5782d1f2,3.14,14,367
org.apache.geode.geode_new_5f644d0dd3d6800b5782d3da,3.14,14,361
org.apache.geode.geode_new_5f644d1ed3d6800b5782d5b7,3.16,14,370
org.apache.geode.geode_new_5f644d22d3d6800b5782d628,3.16,14,370
org.apache.geode.geode_new_5f644d46d3d6800b5782d9df,3.18,14,369
org.apache.geode.geode_new_5f644d65d3d6800b5782dd3e,1.33,4,12
org.apache.geode.geode_new_5f645029d3d6800b57832139,3.18,14,369
org.apache.geode.geode_new_5f645037d3d6800b57832299,3.18,14,369
org.apache.geode.geode_new_5f645044d3d6800b578323c0,3.18,14,369
org.apache.geode.geode_new_5f64505cd3d6800b5783261c,3.18,14,369
org.apache.geode.geode_new_5f64506ed3d6800b578327e5,3.18,14,369
org.apache.geode.geode_new_5f645072d3d6800b5783284f,3.18,14,369
org.apache.geode.geode_new_5f64507cd3d6800b57832921,3.18,14,369
org.apache.geode.geode_new_5f645177d3d6800b57834084,3.17,14,368
org.apache.geode.geode_new_5f6451b5d3d6800b57834670,3.17,14,368
org.apache.geode.geode_new_5f6451cad3d6800b57834885,1.33,4,12
org.apache.geode.geode_new_5f645207d3d6800b57834e53,1.33,4,12
org.apache.geode.geode_new_5f645403d3d6800b57837cfc,3.17,14,368
org.apache.geode.geode_new_5f6454e3d3d6800b578390b7,3.17,14,368
org.apache.geode.geode_old_5f643bf5d3d6800b57814dcd,3.14,14,367
org.apache.geode.geode_old_5f643c6ed3d6800b5781584f,3.14,14,367
org.apache.geode.geode_old_5f643e61d3d6800b57818186,1.33,4,12
org.apache.geode.geode_old_5f643e67d3d6800b578181f6,3.18,14,369
org.apache.geode.geode_old_5f64421ed3d6800b5781d6e8,3.18,14,369
org.apache.geode.geode_old_5f644cfbd3d6800b5782d1f2,3.12,14,365
org.apache.geode.geode_old_5f644d0dd3d6800b5782d3da,3.14,14,367
org.apache.geode.geode_old_5f644d1ed3d6800b5782d5b7,3.14,14,361
org.apache.geode.geode_old_5f644d22d3d6800b5782d628,3.14,14,361
org.apache.geode.geode_old_5f644d46d3d6800b5782d9df,3.18,14,369
org.apache.geode.geode_old_5f644d65d3d6800b5782dd3e,1.33,4,12
org.apache.geode.geode_old_5f645029d3d6800b57832139,3.18,14,369
org.apache.geode.geode_old_5f645037d3d6800b57832299,3.18,14,369
org.apache.geode.geode_old_5f645044d3d6800b578323c0,3.18,14,369
org.apache.geode.geode_old_5f64505cd3d6800b5783261c,3.18,14,369
org.apache.geode.geode_old_5f64506ed3d6800b578327e5,3.18,14,369
org.apache.geode.geode_old_5f645072d3d6800b5783284f,3.18,14,369
org.apache.geode.geode_old_5f64507cd3d6800b57832921,3.18,14,369
org.apache.geode.geode_old_5f645177d3d6800b57834084,3.18,14,369
org.apache.geode.geode_old_5f6451b5d3d6800b57834670,3.17,14,368
org.apache.geode.geode_old_5f6451cad3d6800b57834885,1.33,4,12
org.apache.geode.geode_old_5f645207d3d6800b57834e53,1.33,4,12
org.apache.geode.geode_old_5f645403d3d6800b57837cfc,3.17,14,368
org.apache.geode.geode_old_5f6454e3d3d6800b578390b7,3.17,14,368
org.apache.log4j.cloudstack_new_5f641958d3d6800b577e25cc,1.38,3,11
org.apache.log4j.cloudstack_new_5f64197bd3d6800b577e28c5,1.38,3,11
org.apache.log4j.cloudstack_old_5f641a64d3d6800b577e3c4e,1.38,3,11
org.apache.log4j.logginglog4j2_new_5f645720d3d6800b5783c86b,3.62,11,29
org.apache.log4j.logginglog4j2_old_5f645748d3d6800b5783cc82,3.62,11,29
org.apache.log4j.net.DefaultEvaluator,1,1,1
org.apache.log4j.net.cloudstack_new_5f64195ad3d6800b577e2602,1,1,1
org.apache.log4j.net.cloudstack_old_5f641a67d3d6800b577e3c84,1.69,7,83
org.apache.logging.log4j.web.logginglog4j2_new_5f645a97d3d6800b57841df4,7,16,21
org.apache.logging.log4j.web.logginglog4j2_old_5f645a97d3d6800b57841df4,7,16,21
org.json.geode_new_5f643df8d3d6800b5781799e,4.04,11,97
org.json.geode_old_5f643dffd3d6800b57817a2a,4.04,11,97
,,,
,,,
,,,
